python_name,Type,ch4_low_h2_low_P_low_eur_Y0,ch4_low_h2_low_P_low_eur_Y1,ch4_low_h2_low_P_low_eur_Y2,ch4_low_h2_low_P_low_eur_Y3,ch4_low_h2_low_P_low_eur_Y4,ch4_low_h2_low_P_low_eur_Y5,ch4_low_h2_low_P_low_eur_Y6,ch4_low_h2_low_P_low_eur_Y7,ch4_low_h2_low_P_low_eur_Y8,ch4_low_h2_low_P_low_eur_Y9,ch4_low_h2_low_P_low_eur_Y10,ch4_low_h2_low_P_low_eur_Y11,ch4_low_h2_low_P_low_eur_Y12,ch4_low_h2_low_P_low_eur_Y13,ch4_low_h2_low_P_low_eur_Y14,ch4_low_h2_low_P_low_eur_Y15,ch4_low_h2_low_P_low_eur_Y16,ch4_low_h2_low_P_low_eur_Y17,ch4_low_h2_low_P_low_eur_Y18,ch4_low_h2_low_P_low_eur_Y19,ch4_low_h2_low_P_low_eur_Y20,ch4_low_h2_low_P_low_eur_Y21,ch4_low_h2_low_P_low_eur_Y22,ch4_low_h2_low_P_low_eur_Y23,ch4_low_h2_low_P_low_eur_Y24,ch4_low_h2_low_P_low_eur_Y25,ch4_low_h2_low_P_low_eur_Y26,ch4_low_h2_low_P_low_eur_Y27,ch4_low_h2_low_P_low_eur_Y28,ch4_low_h2_low_P_low_eur_Y29
gas_lifting,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_flooding,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
steam_flooding,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
country,str,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA
name,str,ch4_low_h2_low_P_low_eur_Y1,ch4_low_h2_low_P_low_eur_Y2,ch4_low_h2_low_P_low_eur_Y3,ch4_low_h2_low_P_low_eur_Y4,ch4_low_h2_low_P_low_eur_Y5,ch4_low_h2_low_P_low_eur_Y6,ch4_low_h2_low_P_low_eur_Y7,ch4_low_h2_low_P_low_eur_Y8,ch4_low_h2_low_P_low_eur_Y9,ch4_low_h2_low_P_low_eur_Y10,ch4_low_h2_low_P_low_eur_Y11,ch4_low_h2_low_P_low_eur_Y12,ch4_low_h2_low_P_low_eur_Y13,ch4_low_h2_low_P_low_eur_Y14,ch4_low_h2_low_P_low_eur_Y15,ch4_low_h2_low_P_low_eur_Y16,ch4_low_h2_low_P_low_eur_Y17,ch4_low_h2_low_P_low_eur_Y18,ch4_low_h2_low_P_low_eur_Y19,ch4_low_h2_low_P_low_eur_Y20,ch4_low_h2_low_P_low_eur_Y21,ch4_low_h2_low_P_low_eur_Y22,ch4_low_h2_low_P_low_eur_Y23,ch4_low_h2_low_P_low_eur_Y24,ch4_low_h2_low_P_low_eur_Y25,ch4_low_h2_low_P_low_eur_Y26,ch4_low_h2_low_P_low_eur_Y27,ch4_low_h2_low_P_low_eur_Y28,ch4_low_h2_low_P_low_eur_Y29,ch4_low_h2_low_P_low_eur_Y30
age,int,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
depth,float,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
oil_prod,float,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
num_prod_wells,int,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
num_water_inj_wells,int,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
res_press,float,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
offshore,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_comp_N2,float,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
gas_comp_CO2,float,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_comp_C1,float,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
gas_comp_C2,float,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_comp_C3,float,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_comp_C4,float,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_comp_H2S,float,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_comp_H2,float,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
GOR,float,2388941.2181661823,2150047.0963495644,1935042.386714608,1741538.148043147,1567384.3332388322,1410645.8999149492,1269581.3099234542,1142623.178931109,1028360.861037998,925524.7749341981,832972.2974407785,749675.0676967005,674707.5609270305,607236.8048343274,546513.1243508948,491861.8119158053,442675.6307242247,398408.0676518023,358567.26088662207,322710.5347979599,290439.4813181639,261395.53318634751,235255.9798677128,211730.38188094154,190557.34369284732,171501.60932356262,154351.4483912064,138916.3035520857,125024.67319687716,112522.20587718945
WOR,float,931.6870750848111,838.5183675763301,754.6665308186971,679.1998777368274,611.2798899631446,550.1519009668302,495.1367108701471,445.62303978313247,401.0607358048192,360.95466222433726,324.85919600190357,292.37327640171316,263.1359487615419,236.82235388538768,213.14011849684897,191.82610664716404,172.64349598244763,155.3791463842029,139.8412317457826,125.85710857120436,113.27139771408393,101.94425794267553,91.74983214840799,82.5748489335672,74.31736404021045,66.88562763618943,60.19706487257049,54.177358385313426,48.75962254678209,43.88366029210388
fraction_elec_onsite,float,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fraction_remaining_gas_inj,float,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fraction_water_reinjected,float,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
frac_venting,float,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PsaPreCompressor.suction_pressure,float,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7
PsaPreCompressor.discharge_pressure,float,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7
PsaPreCompressor.prime_mover_type,str,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor
PressureSwingAdsorption.flaring,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slip_rate,float,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
PSA_waste_gas_P,float,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7
PSA_waste_gas_T,float,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
DownholePump.prime_mover_type,str,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor
Separation.prime_mover_type,str,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor
GasReinjectionCompressor.prime_mover_type,str,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor
GasDehydration.prime_mover_type,str,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine
AcidGasRemoval.prime_mover_type,str,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine
SourGasCompressor.prime_mover_type,str,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor
WaterInjection.prime_mover_type,str,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor
